topic,count,prop
-1,24711,0.2516241370181048
0,4167,0.04243121601531474
1,674,0.006863124452681099
3,494,0.005030242551371606
5,331,0.003370466162963566
12,228,0.002321650408325357
15,228,0.002321650408325357
6,225,0.0022911023766368655
19,211,0.002148544895423905
7,208,0.0021179968637354135
