term,user_mean,bot_mean
smile,0.007688647246362253,0.019779596721627248
yes,0.014001538419075824,0.017109463303522265
like,0.013167573764117398,0.016344618586035774
love,0.011723422703961867,0.015827989696541214
know,0.011032982053952898,0.014384371857736167
look,0.007803711682165381,0.0125632488591858
want,0.00976054134198259,0.01245517423432474
oh,0.009647760770388137,0.012094587550500656
youre,0.00934007814010243,0.011063617741882567
think,0.007831230629799677,0.010876046229880454
say,0.0088552061645541,0.009684904258722536
really,0.0061404395874868995,0.009031950389193301
thats,0.0075304770621443555,0.008270483584061105
make,0.005697576639715389,0.008175625097265394
ok,0.008108834746623399,0.003464456737297547
let,0.005266062187216029,0.008009856941368552
good,0.007653583637953132,0.00796154550706782
tell,0.007914111268221955,0.004746355730017902
laugh,0.004557718802567518,0.007839529018885464
right,0.00476991665997541,0.007580299578151154
whats,0.0072215796485429655,0.004093763258485959
feel,0.0044622790235964395,0.0068109279707865965
yeah,0.006459787207477595,0.00620979564122993
kiss,0.0064550191905193635,0.005966157466916024
sure,0.005531581772238464,0.006286077763797367
okay,0.0058858858429774044,0.005795376846437796
