topic,count,prop
-1,37192,0.3148155985745605
0,2406,0.020365840239040454
2,736,0.0062299494663066385
4,579,0.004901006441564598
1,443,0.003749820127138371
3,268,0.0022685142078399173
18,235,0.001989182234486495
13,223,0.0018876069714488864
9,207,0.001752173287398742
16,206,0.001743708682145608
